word,total,is_learned
to,92,False
and,80,False
the,70,False
in,60,False
it,44,False
a,40,False
of,34,False
you,34,False
i,32,False
your,24,False
with,12,False
that,11,False
on,10,False
this,10,False
is,9,False
support,9,False
will,9,False
my,9,False
how,8,False
python,8,False
be,8,False
more,7,False
we,7,False
learn,7,False
or,7,False
at,6,False
our,6,False
program,6,False
i'm,6,False
who,5,False
are,5,False
even,5,False
first,5,False
about,5,False
course,5,False
get,5,False
was,4,False
by,4,False
but,4,False
code,4,False
they,4,False
skills,4,False
into,4,False
technical,4,False
systems,4,False
coding,4,False
can,4,False
people,4,False
want,4,False
so,4,False
maybe,4,False
where,4,False
i'll,4,False
just,3,False
career,3,False
for,3,False
out,3,False
those,3,False
work,3,False
all,3,False
roles,3,False
solve,3,False
management,3,False
towards,3,False
down,3,False
language,3,False
most,3,False
it.,3,False
you're,3,False
knowledge,3,False
like,3,False
as,3,False
started,3,True
their,3,True
then,3,False
"hey,",3,False
introduce,3,False
focus,3,False
lot,3,False
new,3,False
we'll,3,False
github,3,False
using,3,False
working,2,False
it's,2,False
field,2,False
offers,2,False
saw,2,False
here,2,False
program.,2,False
after,2,False
advanced,2,False
write,2,False
problems,2,False
"skills,",2,False
world,2,False
already,2,False
why,2,False
role,2,False
industry.,2,False
